n,base,base_nomenclature,order_no,line_no,del_no,supply_code,priority,part_number,spec_number,cage_code,part_description,demand_total_qty,uai,tail_number,variant,iwerk_customer,co_status,date_planned,ifs_delivered_date_uni,ifs_inv_closed_date,ifs_co_type,customer_no,po_num,po_status,wo_description,cust_wo_ref,rep_ind,unified_cwt,base_conus_oconus_afloat,smr_cd,created,date_released,date_reserved,date_partial_delivery,to_qty_dlvrd,squadron_name,adjusted_metric_priority,ia_code,gie_cleansed_datetime,categorization,is_tctd_demand,wait_time
11,KLUF,LUKE AFB,000000190243,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-04-15 14:42:00,2021-04-15 14:54:00,2021-04-15 15:02:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-04-15,2021-04-15 14:42:00,2021-04-15 14:42:00,null,1,null,3,J56,2021-04-15 14:42:00,GIE Demand,false,0.008333334
12,KLUF,LUKE AFB,000000249079,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-07-26 14:35:00,2022-07-26 14:51:00,2022-07-26 14:53:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-07-26,2022-07-26 14:35:00,2022-07-26 14:35:00,null,1,null,3,J56,2022-07-26 14:35:00,GIE Demand,false,0.011111111
13,KLUF,LUKE AFB,000000180395,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-01-27 16:53:00,2021-01-27 17:11:00,2021-01-27 17:15:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-01-27,2021-01-27 16:53:00,2021-01-27 16:53:00,null,1,null,3,J56,2021-01-27 16:53:00,GIE Demand,false,0.0125
14,KLUF,LUKE AFB,000000156380,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-07-16 17:31:00,2020-07-16 17:44:00,2020-07-16 17:49:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-07-16,2020-07-16 17:31:00,2020-07-16 17:31:00,null,1,null,3,J56,2020-07-16 17:31:00,GIE Demand,false,0.009027778
15,KLUF,LUKE AFB,000000215100,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-11-04 15:20:00,2021-11-04 15:30:00,2021-11-04 15:40:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-11-04,2021-11-04 15:20:00,2021-11-04 15:20:00,null,1,null,3,J56,2021-11-04 15:20:00,GIE Demand,false,0.0069444445
16,KLUF,LUKE AFB,000000179590,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-01-21 12:39:00,2021-01-21 12:53:00,2021-01-21 12:54:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-01-21,2021-01-21 12:39:00,2021-01-21 12:39:00,null,1,null,3,J56,2021-01-21 12:39:00,GIE Demand,false,0.009722223
17,KLUF,LUKE AFB,000000214115,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-10-28 16:41:00,2021-10-28 16:54:00,2021-10-28 17:00:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-10-28,2021-10-28 16:41:00,2021-10-28 16:41:00,null,1,null,3,J56,2021-10-28 16:41:00,GIE Demand,false,0.009027778
18,KLUF,LUKE AFB,000000261607,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-10-20 13:40:00,2022-10-20 13:49:00,2022-10-20 13:55:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-10-20,2022-10-20 13:40:00,2022-10-20 13:40:00,null,1,null,3,J56,2022-10-20 13:40:00,GIE Demand,false,0.00625
19,KLUF,LUKE AFB,000000189726,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-04-12 14:10:00,2021-04-12 14:19:00,2021-04-12 14:23:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-04-12,2021-04-12 14:10:00,2021-04-12 14:10:00,null,1,null,3,J56,2021-04-12 14:10:00,GIE Demand,false,0.00625
20,KLUF,LUKE AFB,000000145606,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-04-27 16:28:00,2020-04-27 16:45:00,2020-04-27 16:48:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-04-27,2020-04-27 16:28:00,2020-04-27 16:28:00,null,1,null,3,J56,2020-04-27 16:28:00,GIE Demand,false,0.011805556
101,KLUF,LUKE AFB,000000202591,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-07-30 19:32:00,2021-07-30 19:40:00,2021-07-30 23:21:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-07-30,2021-07-30 19:32:00,2021-07-30 19:32:00,null,1,null,3,J56,2021-07-30 19:32:00,GIE Demand,false,0.0055555557
102,KLUF,LUKE AFB,000000145604,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-04-27 16:27:00,2020-04-27 16:45:00,2020-04-27 16:48:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-04-27,2020-04-27 16:27:00,2020-04-27 16:27:00,null,1,null,3,J56,2020-04-27 16:27:00,GIE Demand,false,0.0125
103,KLUF,LUKE AFB,000000198762,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-06-29 14:47:00,2021-06-29 14:56:00,2021-06-29 14:59:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-06-29,2021-06-29 14:47:00,2021-06-29 14:48:00,null,1,null,3,J56,2021-06-29 14:47:00,GIE Demand,false,0.00625
104,KLUF,LUKE AFB,000000171861,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-11-03 19:09:00,2020-11-03 19:18:00,2020-11-03 19:19:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-11-03,2020-11-03 19:09:00,2020-11-03 19:09:00,null,1,null,2,J56,2020-11-03 19:09:00,GIE Demand,false,0.00625
105,KLUF,LUKE AFB,000000124093,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2019-10-18 19:24:00,2019-10-18 19:42:00,2019-10-18 19:46:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2019-10-18,2019-10-18 19:24:00,2019-10-18 19:24:00,null,1,null,3,J56,2019-10-18 19:24:00,GIE Demand,false,0.0125
106,KLUF,LUKE AFB,000000185829,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-03-10 23:52:00,2021-03-11 00:05:00,2021-03-11 00:06:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-03-10,2021-03-10 23:52:00,2021-03-10 23:52:00,null,1,null,3,J56,2021-03-10 23:52:00,GIE Demand,false,0.009027778
107,KLUF,LUKE AFB,000000201960,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-07-27 23:42:00,2021-07-27 23:52:00,2021-07-27 23:54:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-07-27,2021-07-27 23:42:00,2021-07-27 23:42:00,null,1,null,3,J56,2021-07-27 23:42:00,GIE Demand,false,0.0069444445
108,KLUF,LUKE AFB,000000277435,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2023-02-28 13:29:00,2023-02-28 13:38:00,2023-02-28 13:41:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2023-02-28,2023-02-28 13:29:00,2023-02-28 13:29:00,null,1,null,3,J56,2023-02-28 13:29:00,GIE Demand,false,0.00625
109,KLUF,LUKE AFB,000000084656,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2018-11-08 16:12:00,2018-11-08 16:29:00,2018-11-13 16:00:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2018-11-08,2018-11-08 16:12:00,2018-11-08 16:12:00,null,1,null,3,J56,2018-11-08 16:12:00,GIE Demand,false,0.011805556
110,KLUF,LUKE AFB,000000202598,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-07-30 19:32:00,2021-07-30 19:40:00,2021-07-30 23:22:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-07-30,2021-07-30 19:33:00,2021-07-30 19:33:00,null,1,null,2,J56,2021-07-30 19:32:00,GIE Demand,false,0.0055555557
111,KLUF,LUKE AFB,000000152920,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-06-17 14:54:00,2020-06-17 15:04:00,2020-06-17 15:20:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-06-17,2020-06-17 14:54:00,2020-06-17 14:54:00,null,1,null,3,J56,2020-06-17 14:54:00,GIE Demand,false,0.0069444445
112,KLUF,LUKE AFB,000000175270,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-12-08 16:06:00,2020-12-08 16:17:00,2020-12-08 16:20:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-12-08,2020-12-08 16:06:00,2020-12-08 16:06:00,null,1,null,3,J56,2020-12-08 16:06:00,GIE Demand,false,0.007638889
113,KLUF,LUKE AFB,000000268472,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-12-13 13:46:00,2022-12-13 13:55:00,2022-12-13 13:59:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-12-13,2022-12-13 13:46:00,2022-12-13 13:46:00,null,1,null,3,J56,2022-12-13 13:46:00,GIE Demand,false,0.00625
114,KLUF,LUKE AFB,000000277675,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2023-03-01 13:21:00,2023-03-01 13:31:00,2023-03-01 13:33:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2023-03-01,2023-03-01 13:21:00,2023-03-01 13:21:00,null,1,null,3,J56,2023-03-01 13:21:00,GIE Demand,false,0.0069444445
115,KLUF,LUKE AFB,000000172898,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-11-13 14:30:00,2020-11-13 14:43:00,2020-11-13 14:51:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-11-13,2020-11-13 14:30:00,2020-11-13 14:30:00,null,1,null,3,J56,2020-11-13 14:30:00,GIE Demand,false,0.009027778
116,KLUF,LUKE AFB,000000271770,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2023-01-18 15:13:00,2023-01-18 15:23:00,2023-01-18 15:25:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2023-01-18,2023-01-18 15:13:00,2023-01-18 15:13:00,null,1,null,3,J56,2023-01-18 15:13:00,GIE Demand,false,0.0069444445
117,KLUF,LUKE AFB,000000081141,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2018-10-11 02:05:00,2018-10-11 02:13:00,2018-10-11 02:20:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2018-10-11,2018-10-11 02:05:00,2018-10-11 02:05:00,null,1,null,2,J56,2018-10-11 02:05:00,GIE Demand,false,0.0055555557
118,KLUF,LUKE AFB,000000180551,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-01-28 16:23:00,2021-01-28 16:32:00,2021-01-28 16:36:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-01-28,2021-01-28 16:23:00,2021-01-28 16:23:00,null,1,null,3,J56,2021-01-28 16:23:00,GIE Demand,false,0.00625
119,KLUF,LUKE AFB,000000179593,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-01-21 12:42:00,2021-01-21 12:53:00,2021-01-21 12:54:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-01-21,2021-01-21 12:42:00,2021-01-21 12:42:00,null,1,null,3,J56,2021-01-21 12:42:00,GIE Demand,false,0.007638889
120,KLUF,LUKE AFB,000000183111,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-02-17 13:40:00,2021-02-17 13:49:00,2021-02-17 13:51:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-02-17,2021-02-17 13:40:00,2021-02-17 13:40:00,null,1,null,3,J56,2021-02-17 13:40:00,GIE Demand,false,0.00625
121,KLUF,LUKE AFB,000000180844,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-01-29 15:25:00,2021-01-29 15:35:00,2021-01-29 15:43:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-01-29,2021-01-29 15:25:00,2021-01-29 15:25:00,null,1,null,3,J56,2021-01-29 15:25:00,GIE Demand,false,0.0069444445
122,KLUF,LUKE AFB,000000098665,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2019-03-15 13:13:00,2019-03-15 13:31:00,2019-03-15 15:29:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2019-03-15,2019-03-15 13:13:00,2019-03-15 13:13:00,null,1,null,3,J56,2019-03-15 13:13:00,GIE Demand,false,0.0125
123,KLUF,LUKE AFB,000000228537,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-02-22 22:02:00,2022-02-22 22:18:00,2022-02-22 22:20:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-02-22,2022-02-22 22:02:00,2022-02-22 22:02:00,null,1,null,3,J56,2022-02-22 22:02:00,GIE Demand,false,0.011111111
124,KLUF,LUKE AFB,000000199488,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-07-07 16:10:00,2021-07-07 16:18:00,2021-07-07 16:20:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-07-07,2021-07-07 16:10:00,2021-07-07 16:11:00,null,1,null,3,J56,2021-07-07 16:10:00,GIE Demand,false,0.0055555557
125,KLUF,LUKE AFB,000000193900,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-05-13 13:38:00,2021-05-13 13:52:00,2021-05-13 13:54:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-05-13,2021-05-13 13:38:00,2021-05-13 13:38:00,null,1,null,3,J56,2021-05-13 13:38:00,GIE Demand,false,0.009722223
126,KLUF,LUKE AFB,000000233889,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-04-05 13:32:00,2022-04-05 13:41:00,2022-04-05 13:45:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-04-05,2022-04-05 13:32:00,2022-04-05 13:32:00,null,1,null,3,J56,2022-04-05 13:32:00,GIE Demand,false,0.00625
127,KLUF,LUKE AFB,000000189416,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-04-08 14:16:00,2021-04-08 14:34:00,2021-04-08 14:37:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-04-08,2021-04-08 14:16:00,2021-04-08 14:16:00,null,1,null,3,J56,2021-04-08 14:16:00,GIE Demand,false,0.0125
128,KLUF,LUKE AFB,000000159366,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-08-06 16:50:00,2020-08-06 17:03:00,2020-08-06 17:05:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-08-06,2020-08-06 16:50:00,2020-08-06 16:50:00,null,1,null,3,J56,2020-08-06 16:50:00,GIE Demand,false,0.009027778
129,KLUF,LUKE AFB,000000202617,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-07-30 19:29:00,2021-07-30 19:40:00,2021-07-30 23:14:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-07-30,2021-07-30 19:30:00,2021-07-30 19:30:00,null,1,null,2,J56,2021-07-30 19:29:00,GIE Demand,false,0.007638889
130,KLUF,LUKE AFB,000000187923,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-03-26 13:32:00,2021-03-26 13:40:00,2021-03-26 13:41:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-03-26,2021-03-26 13:32:00,2021-03-26 13:32:00,null,1,null,3,J56,2021-03-26 13:32:00,GIE Demand,false,0.0055555557
131,KLUF,LUKE AFB,000000233426,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-03-31 13:52:00,2022-03-31 14:07:00,2022-03-31 14:16:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-03-31,2022-03-31 13:52:00,2022-03-31 13:52:00,null,1,null,3,J56,2022-03-31 13:52:00,GIE Demand,false,0.010416667
132,KLUF,LUKE AFB,000000123538,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2019-10-16 16:59:00,2019-10-16 17:19:00,2019-10-16 17:33:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2019-10-16,2019-10-16 16:59:00,2019-10-16 16:59:00,null,1,null,3,J56,2019-10-16 16:59:00,GIE Demand,false,0.013888889
133,KLUF,LUKE AFB,000000190347,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-04-15 18:23:00,2021-04-15 18:32:00,2021-04-15 18:34:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-04-15,2021-04-15 18:23:00,2021-04-15 18:23:00,null,1,null,2,J56,2021-04-15 18:23:00,GIE Demand,false,0.00625
134,KLUF,LUKE AFB,000000249084,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-07-26 14:37:00,2022-07-26 14:51:00,2022-07-26 14:53:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-07-26,2022-07-26 14:37:00,2022-07-26 14:37:00,null,1,null,3,J56,2022-07-26 14:37:00,GIE Demand,false,0.009722223
135,KLUF,LUKE AFB,000000230383,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-03-09 13:43:00,2022-03-09 13:51:00,2022-03-09 13:55:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-03-09,2022-03-09 13:43:00,2022-03-09 13:43:00,null,1,null,3,J56,2022-03-09 13:43:00,GIE Demand,false,0.0055555557
136,KLUF,LUKE AFB,000000160860,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-08-17 15:15:00,2020-08-17 15:31:00,2020-08-17 15:41:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-08-17,2020-08-17 15:15:00,2020-08-17 15:15:00,null,1,null,3,J56,2020-08-17 15:15:00,GIE Demand,false,0.011111111
137,KLUF,LUKE AFB,000000136296,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-02-11 19:38:00,2020-02-11 19:50:00,2020-02-11 19:53:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-02-11,2020-02-11 19:38:00,2020-02-11 19:38:00,null,1,null,2,J56,2020-02-11 19:38:00,GIE Demand,false,0.008333334
