n,base,base_nomenclature,order_no,line_no,del_no,supply_code,priority,part_number,spec_number,cage_code,part_description,demand_total_qty,uai,tail_number,variant,iwerk_customer,co_status,date_planned,ifs_delivered_date_uni,ifs_inv_closed_date,ifs_co_type,customer_no,po_num,po_status,wo_description,cust_wo_ref,rep_ind,unified_cwt,base_conus_oconus_afloat,smr_cd,created,date_released,date_reserved,date_partial_delivery,to_qty_dlvrd,squadron_name,adjusted_metric_priority,ia_code,gie_cleansed_datetime,categorization,is_tctd_demand,target
11,KLUF,LUKE AFB,190243,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/15/2021 14:42,4/15/2021 14:54,4/15/2021 15:02,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/15/2021,4/15/2021 14:42,4/15/2021 14:42,null,1,null,3,J56,4/15/2021 14:42,GIE Demand,FALSE,0.008333334
12,KLUF,LUKE AFB,249079,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/26/2022 14:35,7/26/2022 14:51,7/26/2022 14:53,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/26/2022,7/26/2022 14:35,7/26/2022 14:35,null,1,null,3,J56,7/26/2022 14:35,GIE Demand,FALSE,0.011111111
13,KLUF,LUKE AFB,180395,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/27/2021 16:53,1/27/2021 17:11,1/27/2021 17:15,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/27/2021,1/27/2021 16:53,1/27/2021 16:53,null,1,null,3,J56,1/27/2021 16:53,GIE Demand,FALSE,0.0125
14,KLUF,LUKE AFB,156380,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/16/2020 17:31,7/16/2020 17:44,7/16/2020 17:49,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/16/2020,7/16/2020 17:31,7/16/2020 17:31,null,1,null,3,J56,7/16/2020 17:31,GIE Demand,FALSE,0.009027778
15,KLUF,LUKE AFB,215100,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/4/2021 15:20,11/4/2021 15:30,11/4/2021 15:40,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/4/2021,11/4/2021 15:20,11/4/2021 15:20,null,1,null,3,J56,11/4/2021 15:20,GIE Demand,FALSE,0.006944445
16,KLUF,LUKE AFB,179590,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/21/2021 12:39,1/21/2021 12:53,1/21/2021 12:54,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/21/2021,1/21/2021 12:39,1/21/2021 12:39,null,1,null,3,J56,1/21/2021 12:39,GIE Demand,FALSE,0.009722223
17,KLUF,LUKE AFB,214115,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/28/2021 16:41,10/28/2021 16:54,10/28/2021 17:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/28/2021,10/28/2021 16:41,10/28/2021 16:41,null,1,null,3,J56,10/28/2021 16:41,GIE Demand,FALSE,0.009027778
18,KLUF,LUKE AFB,261607,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/20/2022 13:40,10/20/2022 13:49,10/20/2022 13:55,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/20/2022,10/20/2022 13:40,10/20/2022 13:40,null,1,null,3,J56,10/20/2022 13:40,GIE Demand,FALSE,0.00625
19,KLUF,LUKE AFB,189726,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/12/2021 14:10,4/12/2021 14:19,4/12/2021 14:23,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/12/2021,4/12/2021 14:10,4/12/2021 14:10,null,1,null,3,J56,4/12/2021 14:10,GIE Demand,FALSE,0.00625
20,KLUF,LUKE AFB,145606,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/27/2020 16:28,4/27/2020 16:45,4/27/2020 16:48,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/27/2020,4/27/2020 16:28,4/27/2020 16:28,null,1,null,3,J56,4/27/2020 16:28,GIE Demand,FALSE,0.011805556
101,KLUF,LUKE AFB,202591,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/30/2021 19:32,7/30/2021 19:40,7/30/2021 23:21,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/30/2021,7/30/2021 19:32,7/30/2021 19:32,null,1,null,3,J56,7/30/2021 19:32,GIE Demand,FALSE,0.005555556
102,KLUF,LUKE AFB,145604,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/27/2020 16:27,4/27/2020 16:45,4/27/2020 16:48,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/27/2020,4/27/2020 16:27,4/27/2020 16:27,null,1,null,3,J56,4/27/2020 16:27,GIE Demand,FALSE,0.0125
103,KLUF,LUKE AFB,198762,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,6/29/2021 14:47,6/29/2021 14:56,6/29/2021 14:59,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,6/29/2021,6/29/2021 14:47,6/29/2021 14:48,null,1,null,3,J56,6/29/2021 14:47,GIE Demand,FALSE,0.00625
104,KLUF,LUKE AFB,171861,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/3/2020 19:09,11/3/2020 19:18,11/3/2020 19:19,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/3/2020,11/3/2020 19:09,11/3/2020 19:09,null,1,null,2,J56,11/3/2020 19:09,GIE Demand,FALSE,0.00625
105,KLUF,LUKE AFB,124093,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/18/2019 19:24,10/18/2019 19:42,10/18/2019 19:46,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/18/2019,10/18/2019 19:24,10/18/2019 19:24,null,1,null,3,J56,10/18/2019 19:24,GIE Demand,FALSE,0.0125
106,KLUF,LUKE AFB,185829,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/10/2021 23:52,3/11/2021 0:05,3/11/2021 0:06,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/10/2021,3/10/2021 23:52,3/10/2021 23:52,null,1,null,3,J56,3/10/2021 23:52,GIE Demand,FALSE,0.009027778
107,KLUF,LUKE AFB,201960,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/27/2021 23:42,7/27/2021 23:52,7/27/2021 23:54,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/27/2021,7/27/2021 23:42,7/27/2021 23:42,null,1,null,3,J56,7/27/2021 23:42,GIE Demand,FALSE,0.006944445
108,KLUF,LUKE AFB,277435,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2/28/2023 13:29,2/28/2023 13:38,2/28/2023 13:41,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2/28/2023,2/28/2023 13:29,2/28/2023 13:29,null,1,null,3,J56,2/28/2023 13:29,GIE Demand,FALSE,0.00625
109,KLUF,LUKE AFB,84656,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/8/2018 16:12,11/8/2018 16:29,11/13/2018 16:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/8/2018,11/8/2018 16:12,11/8/2018 16:12,null,1,null,3,J56,11/8/2018 16:12,GIE Demand,FALSE,0.011805556
110,KLUF,LUKE AFB,202598,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/30/2021 19:32,7/30/2021 19:40,7/30/2021 23:22,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/30/2021,7/30/2021 19:33,7/30/2021 19:33,null,1,null,2,J56,7/30/2021 19:32,GIE Demand,FALSE,0.005555556
111,KLUF,LUKE AFB,152920,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,6/17/2020 14:54,6/17/2020 15:04,6/17/2020 15:20,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,6/17/2020,6/17/2020 14:54,6/17/2020 14:54,null,1,null,3,J56,6/17/2020 14:54,GIE Demand,FALSE,0.006944445
112,KLUF,LUKE AFB,175270,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,12/8/2020 16:06,12/8/2020 16:17,12/8/2020 16:20,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,12/8/2020,12/8/2020 16:06,12/8/2020 16:06,null,1,null,3,J56,12/8/2020 16:06,GIE Demand,FALSE,0.007638889
113,KLUF,LUKE AFB,268472,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,12/13/2022 13:46,12/13/2022 13:55,12/13/2022 13:59,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,12/13/2022,12/13/2022 13:46,12/13/2022 13:46,null,1,null,3,J56,12/13/2022 13:46,GIE Demand,FALSE,0.00625
114,KLUF,LUKE AFB,277675,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/1/2023 13:21,3/1/2023 13:31,3/1/2023 13:33,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/1/2023,3/1/2023 13:21,3/1/2023 13:21,null,1,null,3,J56,3/1/2023 13:21,GIE Demand,FALSE,0.006944445
115,KLUF,LUKE AFB,172898,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/13/2020 14:30,11/13/2020 14:43,11/13/2020 14:51,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/13/2020,11/13/2020 14:30,11/13/2020 14:30,null,1,null,3,J56,11/13/2020 14:30,GIE Demand,FALSE,0.009027778
116,KLUF,LUKE AFB,271770,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/18/2023 15:13,1/18/2023 15:23,1/18/2023 15:25,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/18/2023,1/18/2023 15:13,1/18/2023 15:13,null,1,null,3,J56,1/18/2023 15:13,GIE Demand,FALSE,0.006944445
117,KLUF,LUKE AFB,81141,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/11/2018 2:05,10/11/2018 2:13,10/11/2018 2:20,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/11/2018,10/11/2018 2:05,10/11/2018 2:05,null,1,null,2,J56,10/11/2018 2:05,GIE Demand,FALSE,0.005555556
118,KLUF,LUKE AFB,180551,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/28/2021 16:23,1/28/2021 16:32,1/28/2021 16:36,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/28/2021,1/28/2021 16:23,1/28/2021 16:23,null,1,null,3,J56,1/28/2021 16:23,GIE Demand,FALSE,0.00625
119,KLUF,LUKE AFB,179593,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/21/2021 12:42,1/21/2021 12:53,1/21/2021 12:54,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/21/2021,1/21/2021 12:42,1/21/2021 12:42,null,1,null,3,J56,1/21/2021 12:42,GIE Demand,FALSE,0.007638889
120,KLUF,LUKE AFB,183111,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2/17/2021 13:40,2/17/2021 13:49,2/17/2021 13:51,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2/17/2021,2/17/2021 13:40,2/17/2021 13:40,null,1,null,3,J56,2/17/2021 13:40,GIE Demand,FALSE,0.00625
121,KLUF,LUKE AFB,180844,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/29/2021 15:25,1/29/2021 15:35,1/29/2021 15:43,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/29/2021,1/29/2021 15:25,1/29/2021 15:25,null,1,null,3,J56,1/29/2021 15:25,GIE Demand,FALSE,0.006944445
122,KLUF,LUKE AFB,98665,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/15/2019 13:13,3/15/2019 13:31,3/15/2019 15:29,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/15/2019,3/15/2019 13:13,3/15/2019 13:13,null,1,null,3,J56,3/15/2019 13:13,GIE Demand,FALSE,0.0125
123,KLUF,LUKE AFB,228537,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2/22/2022 22:02,2/22/2022 22:18,2/22/2022 22:20,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2/22/2022,2/22/2022 22:02,2/22/2022 22:02,null,1,null,3,J56,2/22/2022 22:02,GIE Demand,FALSE,0.011111111
124,KLUF,LUKE AFB,199488,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/7/2021 16:10,7/7/2021 16:18,7/7/2021 16:20,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/7/2021,7/7/2021 16:10,7/7/2021 16:11,null,1,null,3,J56,7/7/2021 16:10,GIE Demand,FALSE,0.005555556
125,KLUF,LUKE AFB,193900,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,5/13/2021 13:38,5/13/2021 13:52,5/13/2021 13:54,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,5/13/2021,5/13/2021 13:38,5/13/2021 13:38,null,1,null,3,J56,5/13/2021 13:38,GIE Demand,FALSE,0.009722223
126,KLUF,LUKE AFB,233889,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/5/2022 13:32,4/5/2022 13:41,4/5/2022 13:45,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/5/2022,4/5/2022 13:32,4/5/2022 13:32,null,1,null,3,J56,4/5/2022 13:32,GIE Demand,FALSE,0.00625
127,KLUF,LUKE AFB,189416,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/8/2021 14:16,4/8/2021 14:34,4/8/2021 14:37,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/8/2021,4/8/2021 14:16,4/8/2021 14:16,null,1,null,3,J56,4/8/2021 14:16,GIE Demand,FALSE,0.0125
128,KLUF,LUKE AFB,159366,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,8/6/2020 16:50,8/6/2020 17:03,8/6/2020 17:05,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,8/6/2020,8/6/2020 16:50,8/6/2020 16:50,null,1,null,3,J56,8/6/2020 16:50,GIE Demand,FALSE,0.009027778
129,KLUF,LUKE AFB,202617,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/30/2021 19:29,7/30/2021 19:40,7/30/2021 23:14,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/30/2021,7/30/2021 19:30,7/30/2021 19:30,null,1,null,2,J56,7/30/2021 19:29,GIE Demand,FALSE,0.007638889
130,KLUF,LUKE AFB,187923,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/26/2021 13:32,3/26/2021 13:40,3/26/2021 13:41,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/26/2021,3/26/2021 13:32,3/26/2021 13:32,null,1,null,3,J56,3/26/2021 13:32,GIE Demand,FALSE,0.005555556
131,KLUF,LUKE AFB,233426,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/31/2022 13:52,3/31/2022 14:07,3/31/2022 14:16,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/31/2022,3/31/2022 13:52,3/31/2022 13:52,null,1,null,3,J56,3/31/2022 13:52,GIE Demand,FALSE,0.010416667
132,KLUF,LUKE AFB,123538,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/16/2019 16:59,10/16/2019 17:19,10/16/2019 17:33,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/16/2019,10/16/2019 16:59,10/16/2019 16:59,null,1,null,3,J56,10/16/2019 16:59,GIE Demand,FALSE,0.013888889
133,KLUF,LUKE AFB,190347,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/15/2021 18:23,4/15/2021 18:32,4/15/2021 18:34,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/15/2021,4/15/2021 18:23,4/15/2021 18:23,null,1,null,2,J56,4/15/2021 18:23,GIE Demand,FALSE,0.00625
134,KLUF,LUKE AFB,249084,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/26/2022 14:37,7/26/2022 14:51,7/26/2022 14:53,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/26/2022,7/26/2022 14:37,7/26/2022 14:37,null,1,null,3,J56,7/26/2022 14:37,GIE Demand,FALSE,0.009722223
135,KLUF,LUKE AFB,230383,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/9/2022 13:43,3/9/2022 13:51,3/9/2022 13:55,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/9/2022,3/9/2022 13:43,3/9/2022 13:43,null,1,null,3,J56,3/9/2022 13:43,GIE Demand,FALSE,0.005555556
136,KLUF,LUKE AFB,160860,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,8/17/2020 15:15,8/17/2020 15:31,8/17/2020 15:41,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,8/17/2020,8/17/2020 15:15,8/17/2020 15:15,null,1,null,3,J56,8/17/2020 15:15,GIE Demand,FALSE,0.011111111
137,KLUF,LUKE AFB,136296,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2/11/2020 19:38,2/11/2020 19:50,2/11/2020 19:53,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2/11/2020,2/11/2020 19:38,2/11/2020 19:38,null,1,null,2,J56,2/11/2020 19:38,GIE Demand,FALSE,0.008333334
138,KLUF,LUKE AFB,97820,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/7/2019 20:50,3/7/2019 21:06,3/7/2019 21:16,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/7/2019,3/7/2019 20:50,3/7/2019 20:50,null,1,null,3,J56,3/7/2019 20:50,GIE Demand,FALSE,0.011111111
139,KLUF,LUKE AFB,160096,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,8/12/2020 15:16,8/12/2020 15:24,8/12/2020 15:26,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,8/12/2020,8/12/2020 15:16,8/12/2020 15:16,null,1,null,3,J56,8/12/2020 15:16,GIE Demand,FALSE,0.005555556
140,KLUF,LUKE AFB,176445,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,12/17/2020 0:26,12/17/2020 0:35,12/17/2020 0:37,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,12/17/2020,12/17/2020 0:26,12/17/2020 0:26,null,1,null,2,J56,12/17/2020 0:26,GIE Demand,FALSE,0.00625
